0020 -> 8359 :   -> 荙
0021 -> 4F63 : ! -> 佣
0022 -> 6C50 : " -> 汐
0023 -> 783D : # -> 砽
0024 -> 8B77 : $ -> 護
0025 -> 6602 : % -> 昂
0026 -> 8C61 : & -> 象
0027 -> 5D24 : ' -> 崤
0028 -> 9B44 : ( -> 魄
0029 -> 7ED4 : ) -> 绔
002A -> 421A : * -> 䈚
002B -> E85F : + -> 
002C -> 7F8B : , -> 羋
002D -> 9A05 : - -> 騅
002E -> 6B63 : . -> 正
002F -> 45EF : / -> 䗯
0030 -> 7949 : 0 -> 祉
0031 -> 7268 : 1 -> 牨
0032 -> 7299 : 2 -> 犙
0033 -> 5587 : 3 -> 喇
0034 -> 3068 : 4 -> と
0035 -> 00EE : 5 -> î
0036 -> 6669 : 6 -> 晩
0037 -> 4433 : 7 -> 䐳
0038 -> 510C : 8 -> 儌
0039 -> 5496 : 9 -> 咖
003A -> 67EC : : -> 柬
003B -> 3F22 : ; -> 㼢
003C -> 4894 : < -> 䢔
003D -> 8039 : = -> 耹
003E -> 2164 : > -> Ⅴ
003F -> 4A3B : ? -> 䨻
0040 -> 9D14 : @ -> 鴔
0041 -> 7E9A : A -> 纚
0042 -> 79E0 : B -> 秠
0043 -> 6ADD : C -> 櫝
0044 -> 718F : D -> 熏
0045 -> 4123 : E -> 䄣
0046 -> 81AA : F -> 膪
0047 -> 8406 : G -> 萆
0048 -> 610B : H -> 愋
0049 -> 7C90 : I -> 粐
004A -> 3E18 : J -> 㸘
004B -> 722E : K -> 爮
004C -> 99F1 : L -> 駱
004D -> 5C05 : M -> 尅
004E -> 6923 : N -> 椣
004F -> 846B : O -> 葫
0050 -> 8B3E : P -> 謾
0051 -> 7740 : Q -> 着
0052 -> 4DAE : R -> 䶮
0053 -> 55F6 : S -> 嗶
0054 -> 5404 : T -> 各
0055 -> 6782 : U -> 枂
0056 -> 944E : V -> 鑎
0057 -> 40E0 : W -> 䃠
0058 -> 3E50 : X -> 㹐
0059 -> 8E63 : Y -> 蹣
005A -> 5A82 : Z -> 媂
005B -> 6FF5 : [ -> 濵
005C -> 85A6 : \ -> 薦
005D -> 94B5 : ] -> 钵
005E -> 9F44 : ^ -> 齄
005F -> 4804 : _ -> 䠄
0060 -> 7C5E : ` -> 籞
0061 -> 5916 : a -> 外
0062 -> 4C69 : b -> 䱩
0063 -> 790C : c -> 礌
0064 -> 4163 : d -> 䅣
0065 -> 8EAA : e -> 躪
0066 -> 9A4E : f -> 驎
0067 -> 6B1D : g -> 欝
0068 -> 681D : h -> 栝
0069 -> 461D : i -> 䘝
006A -> 99B2 : j -> 馲
006B -> 52C0 : k -> 勀
006C -> 6D4D : l -> 浍
006D -> 6D06 : m -> 洆
006E -> 4D8C : n -> 䶌
006F -> 837F : o -> 荿
0070 -> 38D6 : p -> 㣖
0071 -> 53F2 : q -> 史
0072 -> 940F : r -> 鐏
0073 -> 00AB : s -> «
0074 -> 35A2 : t -> 㖢
0075 -> 81BD : u -> 膽
0076 -> 6174 : v -> 慴
0077 -> 4373 : w -> 䍳
0078 -> 7370 : x -> 獰
0079 -> 96B7 : y -> 隷
007A -> 7A6C : z -> 穬
007B -> 3677 : { -> 㙷
007C -> 6615 : | -> 昕
007D -> 3CF7 : } -> 㳷
007E -> 3A94 : ~ -> 㪔
007F -> 46CF :  -> 䛏
00A0 -> 4F37 :   -> 伷
00A1 -> 42D0 : ¡ -> 䋐
00A2 -> 83C4 : ¢ -> 菄
00A3 -> 7B8E : £ -> 箎
00A4 -> 91EF : ¤ -> 釯
00A5 -> 3825 : ¥ -> 㠥
00A6 -> 50AE : ¦ -> 傮
00A7 -> 7420 : § -> 琠
00A8 -> 3B77 : ¨ -> 㭷
00A9 -> 8181 : © -> 膁
00AA -> 80B4 : ª -> 肴
00AB -> 9B68 : « -> 魨
00AC -> 9948 : ¬ -> 饈
00AD -> 5757 : ­ -> 块
00AE -> 90DB : ® -> 郛
00AF -> 3561 : ¯ -> 㕡
00B0 -> 90D0 : ° -> 郐
00B1 -> 4363 : ± -> 䍣
00B2 -> 9DC4 : ² -> 鷄
00B3 -> 5B50 : ³ -> 子
00B4 -> 9DF3 : ´ -> 鷳
00B5 -> 7A19 : µ -> 稙
00B6 -> 58F3 : ¶ -> 壳
00B7 -> 7A5B : · -> 穛
00B8 -> 5A39 : ¸ -> 娹
00B9 -> 874C : ¹ -> 蝌
00BA -> 4292 : º -> 䊒
00BB -> 8942 : » -> 襂
00BC -> 3E35 : ¼ -> 㸵
00BD -> 3A09 : ½ -> 㨉
00BE -> 446A : ¾ -> 䑪
00BF -> 86A7 : ¿ -> 蚧
00C0 -> 547B : À -> 呻
00C1 -> 6D1C : Á -> 洜
00C2 -> 7D36 : Â -> 紶
00C3 -> 5D98 : Ã -> 嶘
00C4 -> 4D2D : Ä -> 䴭
00C5 -> 874B : Å -> 蝋
00C6 -> 5B3E : Æ -> 嬾
00C7 -> 6236 : Ç -> 戶
00C8 -> 970A : È -> 霊
00C9 -> E820 : É -> 
00CA -> 5866 : Ê -> 塦
00CB -> 427D : Ë -> 䉽
00CC -> 6A7E : Ì -> 橾
00CD -> 3E03 : Í -> 㸃
00CE -> 6ACB : Î -> 櫋
00CF -> 6B19 : Ï -> 欙
00D0 -> 8FE0 : Ð -> 迠
00D1 -> 4310 : Ñ -> 䌐
00D2 -> 95EA : Ò -> 闪
00D3 -> 69E1 : Ó -> 槡
00D4 -> 3744 : Ô -> 㝄
00D5 -> 75EF : Õ -> 痯
00D6 -> 5D8E : Ö -> 嶎
00D7 -> 73F3 : × -> 珳
00D8 -> 88B3 : Ø -> 袳
00D9 -> 3A61 : Ù -> 㩡
00DA -> 5F59 : Ú -> 彙
00DB -> 6824 : Û -> 栤
00DC -> 6EEE : Ü -> 滮
00DD -> 9452 : Ý -> 鑒
00DE -> 4534 : Þ -> 䔴
00DF -> 8E6B : ß -> 蹫
00E0 -> 4240 : à -> 䉀
